date,location,demand,net_generation,interchange
2019-01-01,Pacific,646739,465625,-148563
2019-01-02,Pacific,713041,488700,-195461
2019-01-03,Pacific,723967,484096,-216036
2019-01-04,Pacific,715678,477365,-218420
2019-01-05,Pacific,706611,451040,-226354
2019-01-06,Pacific,662560,431436,-207184
2019-01-07,Pacific,686688,473916,-213216
2019-01-08,Pacific,705490,479639,-199262
2019-01-09,Pacific,705317,467484,-202251
2019-01-10,Pacific,691203,470206,-205328
2019-01-11,Pacific,705145,461764,-220715
2019-01-12,Pacific,652806,417048,-207101
2019-01-13,Pacific,616144,437961,-164501
2019-01-14,Pacific,728042,495335,-211362
2019-01-15,Pacific,731915,503197,-202219
2019-01-16,Pacific,714378,494539,-199927
2019-01-17,Pacific,701971,481610,-211886
2019-01-18,Pacific,648571,454647,-205785
2019-01-19,Pacific,599108,406835,-192246
2019-01-20,Pacific,582671,407407,-181840
2019-01-21,Pacific,633313,483680,-168599
2019-01-22,Pacific,682588,484013,-190457
2019-01-23,Pacific,679104,490427,-188490
2019-01-24,Pacific,672591,496802,-173921
2019-01-25,Pacific,667756,472106,-185373
2019-01-26,Pacific,601691,431687,-171450
2019-01-27,Pacific,576606,407146,-169354
2019-01-28,Pacific,674569,468050,-188274
2019-01-29,Pacific,702591,475793,-177949
2019-01-30,Pacific,699260,480041,-170905
2019-01-31,Pacific,710706,483714,-178508
2019-02-01,Pacific,691511,489941,-168392
2019-02-02,Pacific,674100,470021,-156899
2019-02-03,Pacific,640166,464659,-147889
2019-02-04,Pacific,709839,552108,-130191
2019-02-05,Pacific,665342,611191,-82562
2019-02-06,Pacific,647694,621285,-73904
2019-02-07,Pacific,669891,575426,-123965
2019-02-08,Pacific,702781,541549,-146503
2019-02-09,Pacific,641362,479395,-153819
2019-02-10,Pacific,602592,497672,-124808
2019-02-11,Pacific,664751,533805,-150968
2019-02-12,Pacific,687849,535253,-171057
2019-02-13,Pacific,683529,559929,-145477
2019-02-14,Pacific,656929,522129,-164240
2019-02-15,Pacific,666599,522844,-150711
2019-02-16,Pacific,636259,471386,-147302
2019-02-17,Pacific,632453,481317,-132926
2019-02-18,Pacific,665594,535232,-132619
2019-02-19,Pacific,674156,549865,-145713
2019-02-20,Pacific,724321,518324,-193952
2019-02-21,Pacific,727507,517229,-190911
2019-02-22,Pacific,709199,537005,-145857
2019-02-23,Pacific,649302,495794,-136573
2019-02-24,Pacific,587327,492926,-97863
2019-02-25,Pacific,661049,562867,-102964
2019-02-26,Pacific,617452,559657,-117184
2019-02-27,Pacific,596023,558825,-99650
2019-02-28,Pacific,590495,570577,-74492
2019-03-01,Pacific,582699,569055,-69563
2019-03-02,Pacific,570196,523883,-90945
2019-03-03,Pacific,541542,518662,-63213
2019-03-04,Pacific,588435,570422,-76727
2019-03-05,Pacific,602644,571304,-104052
2019-03-06,Pacific,614028,545212,-128837
2019-03-07,Pacific,597926,511022,-147687
2019-03-08,Pacific,597529,557947,-91246
2019-03-09,Pacific,570377,516712,-105841
2019-03-10,Pacific,534646,482232,-80909
2019-03-11,Pacific,613240,559402,-99668
2019-03-12,Pacific,591032,523286,-115983
2019-03-13,Pacific,577046,527195,-95010
2019-03-14,Pacific,586280,547398,-85807
2019-03-15,Pacific,572603,513789,-99338
2019-03-16,Pacific,548223,480935,-98384
2019-03-17,Pacific,539136,463409,-97253
2019-03-18,Pacific,592430,498779,-129869
2019-03-19,Pacific,589337,486648,-149239
2019-03-20,Pacific,600312,489008,-148124
2019-03-21,Pacific,603155,501824,-132679
2019-03-22,Pacific,600482,512942,-124030
2019-03-23,Pacific,553769,451427,-125650
2019-03-24,Pacific,542047,445477,-104195
2019-03-25,Pacific,618644,510601,-127395
2019-03-26,Pacific,612362,485277,-143772
2019-03-27,Pacific,635406,488344,-149786
2019-03-28,Pacific,638409,512035,-119916
2019-03-29,Pacific,633151,497286,-121910
2019-03-30,Pacific,610698,452327,-119600
2019-03-31,Pacific,567108,450295,-115651
2019-04-01,Pacific,667001,467398,-178832
2019-04-02,Pacific,662564,484899,-158047
2019-04-03,Pacific,664610,486886,-153638
2019-04-04,Pacific,648939,491019,-153597
2019-04-05,Pacific,635021,509827,-123869
2019-04-06,Pacific,595147,465877,-110294
2019-04-07,Pacific,579884,442432,-118008
2019-04-08,Pacific,663766,500913,-163993
2019-04-09,Pacific,638074,507515,-123454
2019-04-10,Pacific,625634,501851,-126873
2019-04-11,Pacific,638606,497386,-146387
2019-04-12,Pacific,606590,513228,-112510
2019-04-13,Pacific,554272,481610,-99889
2019-04-14,Pacific,573330,466622,-86120
2019-04-15,Pacific,643958,522241,-111330
2019-04-16,Pacific,632894,504747,-137139
2019-04-17,Pacific,666654,502463,-146415
2019-04-18,Pacific,703578,519243,-165153
2019-04-19,Pacific,698780,511071,-158767
2019-04-20,Pacific,624874,505951,-85733
